lote,fuente_categoria,procedencia,anio_cosecha,pureza_pct,germinacion_pct,pms,humedad_pct,presentacion,observaciones
Lote1,HS,Guanacaste,2023,98,75,4.5,8,Escarificada,Disponible
Lote2,RS,San Carlos,2022,97,72,4.6,8,Natural,Stock limitado
