lote,fuente_categoria,procedencia,anio_cosecha,pureza_pct,germinacion_pct,pms,humedad_pct,presentacion,observaciones
LoteA,HS,Puntarenas,2023,96,65,0.05,7,Escarificada,Disponible
LoteB,RS,Sarapiqui,2022,95,62,0.05,7,Natural,Consultar disponibilidad
